pairId,semanticA,semanticB,sourceSha256A,sourceSha256B,dimensionsA,dimensionsB,alphaBoundsA,alphaBoundsB,outlineDifferenceRatio,sourceNodeIdsA,sourceNodeIdsB,scopeA,scopeB,decision,reason,reviewSheet
NEAR-011,reward_gold_chest__1254x1254,reward_gold_chest__314x314,188b86dcf82eefca301f55c9cd4a012c6522c731810b73d11757ed5c5c263ab0,9d11da602146199b9bd22760863556055be5762f88402526c93ef42dfa15e224,"[1254, 1254]","[314, 314]","[0, 0, 1254, 1254]","[0, 0, 314, 314]",0.0,"[""I2:421;2:437"", ""I106:556;2:437"", ""2:437""]",[],USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_01.jpg
NEAR-012,ui_button_red_square__1580x1579,ui_button_red_square__395x395,552ce9ca7d9a4168248e9f2b1af9c6ad9fa2413ec80bd798abe4d8ef179c616f,35ce6fbac7568880d998af2b41d5f409a4fe2ef013c26fd9e591b1fb1f8b4021,"[1580, 1579]","[395, 395]","[0, 0, 1580, 1579]","[0, 0, 395, 395]",0.00032,"[""51:1472""]",[],USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_01.jpg
NEAR-013,ui_bar_cyan_fill__335x53,ui_bar_cyan_fill__2680x420,100ccd3992f30b999f8258a97aa2c08613ef6a6e8e8db539d06d34488dd2e8df,e42e47f11e949ac6e19f7903eedec919dcaf9b88e88966aaee52126603c3c289,"[335, 53]","[2680, 420]","[0, 0, 335, 53]","[0, 0, 2680, 420]",0.006454,[],"[""51:1471""]",USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_02.jpg
NEAR-014,enemy_swamp_crocodile__474x358,enemy_swamp_crocodile__1895x1429,15304ce778149e7057a2564cb0250d251c628a20a5015971b7f23c013e662d37,ff94cd486f51ec02d99911341d145c24d7edceb40acc48b3c1a601fb7897c980,"[474, 358]","[1895, 1429]","[0, 0, 474, 358]","[0, 0, 1895, 1429]",0.003708,[],"[""37:1341""]",USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_02.jpg
NEAR-015,equipment_ice_fairy_boots__289x278,equipment_ice_fairy_boots__578x556,ab659dd75576e5dcf484f8d92d1438548ae1bb543fd129674bc287473b67e954,c13e7e70598dff3947a946a6c7578c31e79d136b4a51113ca94df2546ae03894,"[289, 278]","[578, 556]","[0, 0, 289, 278]","[0, 0, 578, 556]",0.000153,[],"[""80:1035""]",USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_02.jpg
NEAR-016,ui_frame_equipment_gold__259x387,ui_frame_equipment_gold__1035x1545,ed1bd6fe0e29e07f44046f2db81ac0456bcceb5943b2ebb1d8702badbfe7d8db,bbffc23e9dcc5da6a4f6f2f85680798c25877faccba3562f2c5b0c841909d56d,"[259, 387]","[1035, 1545]","[0, 0, 259, 387]","[0, 0, 1035, 1545]",0.004456,[],"[""73:407""]",USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_02.jpg
NEAR-017,hero_raccoon_engineer__405x416,hero_raccoon_engineer__1617x1662,3cc4090d237bd314c8cfd5c7667ccfd918c4e5583b3ff9f561720d35d6fb5396,800cd6f6e5c013bc35dbda41e27964de388aaf62c5d2892c4ab02d8f80805799,"[405, 416]","[1617, 1662]","[0, 0, 405, 416]","[0, 0, 1617, 1662]",0.004288,[],"[""I30:1278;30:1265"", ""39:1367""]",USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_02.jpg
NEAR-018,ui_frame_heart_wings__432x404,ui_frame_heart_wings__1728x1616,b51017dbb49621c1e2452a79c838861123fcf389d7b5bab3777628bbd88b08ba,9a76acac1af48f889b2a628ce5c42abd2be75c1c130e41c682b4b2c2889334b0,"[432, 404]","[1728, 1616]","[0, 0, 432, 404]","[0, 0, 1728, 1616]",9.2e-05,[],"[""I73:438;73:532"", ""I73:442;73:532"", ""I73:453;73:532"", ""I73:454;73:532"", ""73:532""]",USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_02.jpg
NEAR-019,branding_logo__1448x1086,branding_logo__362x272_variant2,28d32483760d5025b9137c076d5532188ce549439202f00740ba027f2e8fea7d,f6e716a25f79948c9e8172ae1d8e2bbbd7dd92d4f4aa222ec13617c0a66d7dd4,"[1448, 1086]","[362, 272]","[0, 0, 1448, 1086]","[0, 0, 362, 272]",0.0,"[""I2:4;2:15"", ""2:15"", ""I90:1757;2:15"", ""I110:1151;2:15"", ""I109:602;110:1151;2:15"", ""I109:604;110:1151;2:15"", ""I109:606;110:1151;2:15"", ""I109:608;110:1151;2:15"", ""I109:610;110:1151;2:15"", ""I109:612;110:1151;2:15""]",[],USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_02.jpg
NEAR-020,equipment_turtle_warrior_ring__534x437,equipment_turtle_warrior_ring__267x219,88668671dc6a6233c8618a4dd8eb256cc82bcbb378c3926b460bf41404e63c18,08d5bfa69741a50469e3b3da9c85bbae9630625f8e06e6290793d93d89e63fa3,"[534, 437]","[267, 219]","[0, 0, 534, 437]","[0, 0, 267, 219]",0.002716,"[""80:1075""]",[],USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_02.jpg
NEAR-021,boss_frost_dragon__499x482,boss_frost_dragon__1995x1925,c2dee402177403c8d632e48b44ee906055903caa67b4990fa59dcd9238c70147,39e0df703351086f18db825f78e516d6c51258604fa2a471c3029f7709431e51,"[499, 482]","[1995, 1925]","[0, 0, 499, 482]","[0, 0, 1995, 1925]",0.005386,[],"[""37:1353""]",USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_02.jpg
NEAR-022,equipment_fox_sorcerer_ring__452x543,equipment_fox_sorcerer_ring__226x272,11c9ff5cadf10515512147fcd58535b9c445de1fcb624cf5a5bf19c8c2fdc4ff,f301b6aa75022e277ba8c3c60b35898de650c949b061c7266481edb22702c451,"[452, 543]","[226, 272]","[0, 0, 452, 543]","[0, 0, 226, 272]",0.003937,"[""80:1055""]",[],USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_02.jpg
NEAR-023,ui_icon_upgrade_arrow__1302x1413,ui_icon_upgrade_arrow__326x354,a8a64e50da1df1b2c132f7a485d0215271425520362047a3a542fa213fa5bfde,ba968d056523ed6723180c226c1a72679edbc07fd2a80e32c2b7ab72475a826b,"[1302, 1413]","[326, 354]","[0, 0, 1302, 1413]","[0, 0, 326, 354]",0.002869,"[""I90:1745;90:1743"", ""90:1743"", ""I90:1749;90:1743"", ""I90:1750;90:1743"", ""I90:1748;90:1743"", ""I80:971;80:959"", ""80:959""]",[],USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_02.jpg
NEAR-024,equipment_ice_fairy_staff_spear__435x899,equipment_ice_fairy_staff_spear__218x450,32388b31042b8f382df34a8e8e511e2e4f5b5e020c2be1ee72222e32890e1c46,928c722bcee61516a09138fb57a923c156b0795ac40b8f88e620e4ba1b2dbef4,"[435, 899]","[218, 450]","[0, 0, 435, 899]","[0, 0, 218, 450]",0.00264,"[""80:1034""]",[],USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_02.jpg
NEAR-025,equipment_owl_mage_ring_crescent__413x553,equipment_owl_mage_ring_crescent__207x277,5652b9fb3db25e09b142ff050ce4fd27d1eb37c52ed6b95dea1931cd3d8c09c0,e439cfc9fb7937411062889a3302fccdd805bcea86b000db1a20ef57d7f08b94,"[413, 553]","[207, 277]","[0, 0, 413, 553]","[0, 0, 207, 277]",0.005371,"[""80:1030""]",[],USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_03.jpg
NEAR-026,portrait_elf_archer__324x296,portrait_elf_archer__647x592,0aede10a3babd0ef8ad6b0d42556ac0388bef2d0caec7a8b715818c328648cd1,bef3295f46a703605063c0b01fb5234778ce8ebba9df2a2405e1f5555482e184,"[324, 296]","[647, 592]","[0, 0, 324, 296]","[0, 0, 647, 592]",0.000381,[],"[""80:1080"", ""80:1081""]",USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_03.jpg
NEAR-027,portrait_raccoon_engineer__331x296,portrait_raccoon_engineer__662x592,83f194e4e2c1b9cf4e22a3dadb9209d3d062535ede9935a9972c23be963ed350,83b8e3ce29db413e5f1d0bb6f2846f65255dc01a23262a3b17bc436fd31827d5,"[331, 296]","[662, 592]","[0, 0, 331, 296]","[0, 0, 662, 592]",0.0,[],"[""80:1083""]",USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_03.jpg
NEAR-028,equipment_raccoon_engineer_ring_clock__558x491,equipment_raccoon_engineer_ring_clock__279x246,8af4b9bba0ca46968282c9b4dca048bce055fc3c5276952b59e91fc2c4996bf0,47a815ccb19b553cbef18fe92803bf56101bcfc6b3b5e6d663a26915087d5255,"[558, 491]","[279, 246]","[0, 0, 558, 491]","[0, 0, 279, 246]",0.003647,"[""80:1062""]",[],USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_03.jpg
NEAR-029,hero_fox_sorcerer__457x420,hero_fox_sorcerer__1828x1679,bded8080e12bd31df451430a20948a1e4190182f7a509bbc307ced469c0825d9,865ed674fc801e56a8a5aefd4ca5a8206c45bcc68bd98edf35e8d46d831b8f06,"[457, 420]","[1828, 1679]","[0, 0, 457, 420]","[0, 0, 1828, 1679]",0.001801,[],"[""I30:1282;30:1265"", ""I45:1451;32:1309"", ""I89:1604;89:1448"", ""89:1448"", ""89:1528"", ""32:1309"", ""39:1366""]",USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_03.jpg
NEAR-030,equipment_ice_fairy_robe__335x377,equipment_ice_fairy_robe__670x754,bb830bde653e0cbc23c64a8cc614c1500ffa52542feef94dc9eb4ded2c3d19db,7cef3018bc159a7895deff14b1772ef17ddc3920c3700f4135b261509b28f60e,"[335, 377]","[670, 754]","[0, 0, 335, 377]","[0, 0, 670, 754]",0.000107,[],"[""80:1038""]",USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_03.jpg
NEAR-031,equipment_ice_fairy_ring_gem__465x536,equipment_ice_fairy_ring_gem__233x268,4f9daeb4f0172bf2bb87046c67ad376f31b71ec2b4fb7864a18a8bbbfe9ae6b2,f1035f26198a3bccdc3912c7749b6152ecbee370dd992829f60aea4cf07fee91,"[465, 536]","[233, 268]","[0, 0, 465, 536]","[0, 0, 233, 268]",0.009186,"[""80:1036""]",[],USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_03.jpg
NEAR-032,ui_frame_orange_wings__429x416,ui_frame_orange_wings__1714x1662,d216e66385550b3642cf69c32147ceb903e01b3330b505d04a725a8ec54099f2,77c70023fca9fd7d6d619691e50f3156f58cf80ed37f05597e2fc6d22752c05e,"[429, 416]","[1714, 1662]","[0, 0, 429, 416]","[0, 0, 1714, 1662]",0.003113,[],"[""I73:473;73:532"", ""I73:474;73:532"", ""I73:475;73:532"", ""I73:476;73:532"", ""I73:477;73:532"", ""I73:478;73:532"", ""I73:479;73:532"", ""I73:480;73:532""]",USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_03.jpg
NEAR-033,relic_fire_crystal__447x635,relic_fire_crystal__224x318,32f8e12519e194908bb48f850b086d016f9636a02667035141bf8b87fe10c6c6,4cdf6430a40cbb765473e1f5d53a7326ae28dbbc131faf130682a445382bc5d6,"[447, 635]","[224, 318]","[0, 0, 447, 635]","[0, 0, 224, 318]",0.0047,"[""I73:474;73:436"", ""73:506""]",[],USED_POST_MVP,USED_POST_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_03.jpg
NEAR-034,decoration_raccoon_castle__1254x1254,decoration_raccoon_castle__314x314_variant2,18e4da1c4e7254a0be2f85a77b5f16886969d81094bbef60211d016baabe052d,fbb2dc1ab1d19d5130bb66778bcfa4d7efd8b25c6e91956836104fce03a5c6df,"[1254, 1254]","[314, 314]","[18, 12, 1239, 1189]","[5, 3, 310, 298]",0.007034,"[""I2:119;2:124"", ""2:124""]",[],USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_03.jpg
NEAR-035,ui_panel_blue_square__1448x1614,ui_panel_blue_square__362x404,3c6d4b076f85591581f834359f293c58b9555b73db070f15b6c6a78c28a92158,d5a4b0effd8a3393d95fb03b72274b3dd356c249c3a5dc86d4dabb2937a363d7,"[1448, 1614]","[362, 404]","[0, 0, 1448, 1614]","[0, 0, 362, 404]",0.00708,"[""I19:1211;18:1188"", ""I89:1319;18:1188"", ""I80:1121;18:1188"", ""I71:292;18:1188"", ""I75:753;18:1188"", ""18:1188""]",[],USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_03.jpg
NEAR-036,ui_panel_blue_square__1448x1614,ui_panel_dark_square__394x399,3c6d4b076f85591581f834359f293c58b9555b73db070f15b6c6a78c28a92158,11fba0c719c29b6797d61aa95dba493c56cd73536b0d40c5df215390bdb09f55,"[1448, 1614]","[394, 399]","[0, 0, 1448, 1614]","[0, 0, 394, 399]",0.089111,"[""I19:1211;18:1188"", ""I89:1319;18:1188"", ""I80:1121;18:1188"", ""I71:292;18:1188"", ""I75:753;18:1188"", ""18:1188""]",[],USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,"Different panel fill (blue versus dark violet), border and aspect ratio; not interchangeable UI art.",analysis/figma/near_duplicate_review/pairs_03.jpg
NEAR-037,hero_elf_archer__1797x1858,hero_elf_archer__450x465,f66d72d08e1210eafa306471c8867f9b06ae849ff9fd77eae6df7604525c0be7,a9183122d689c5ea7d2331c94a103cf5ef1e13c32758bbb8660863b8bbf5c447,"[1797, 1858]","[450, 465]","[0, 0, 1797, 1858]","[0, 0, 450, 465]",0.006287,"[""I89:1604;89:1447"", ""89:1447"", ""89:1531"", ""75:867"", ""39:1377"", ""30:1265""]",[],USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_04.jpg
NEAR-038,equipment_elf_archer_coat__332x313,equipment_elf_archer_coat__663x625,1119d40c83041d4af538933e75b6348d5d02d6d30828ee69070bd1f82b04ca1b,f7f0b8d7d8d072b23a6ee37e49447af51fa9adff7eb096c83bea3a574ec6b102,"[332, 313]","[663, 625]","[0, 0, 332, 313]","[0, 0, 663, 625]",0.003693,[],"[""80:1057""]",USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_04.jpg
NEAR-039,relic_wolf_mask__240x317,relic_wolf_mask__479x633,8e3417f70b66228ac77bdf7d5b5f3a556582426d80b3d3f171608d6438a91fbb,ddb67360680d9e622da735cd1b60c3975e1a963911f32b78e9f1e20ad7186df3,"[240, 317]","[479, 633]","[0, 0, 240, 317]","[0, 0, 479, 633]",0.002869,[],"[""I73:461;73:436"", ""73:502""]",USED_POST_MVP,USED_POST_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_04.jpg
NEAR-040,boss_infernal_dragon__1968x1659,boss_infernal_dragon__492x415,2d060451d45ab5b82785cec7a77472d9cc21f1ff19de2fc5856379d96b24ae12,f2e3b7f1056d3f71205b60dab65e220db23f37fd27118c5c4e5dbba103de906d,"[1968, 1659]","[492, 415]","[0, 0, 1968, 1659]","[0, 0, 492, 415]",0.001266,"[""37:1355""]",[],USED_IN_MVP,USED_IN_MVP,KEEP_BOTH,Side-by-side inspection shows matching subject/composition in different native resolutions; decoded RGBA is not equal. Preserve independent raster/alpha data and source usage until calibrated runtime selection.,analysis/figma/near_duplicate_review/pairs_04.jpg
