eventId,status,creator,license,sourceFile,distributionProof,blocksRelease
enemy.deathSmall,acquired-original,Project / Codex-assisted original synthesis,PROJECT_ORIGINAL,app/assets/audio/sfx/manifest.json#enemy.deathSmall,app/assets/audio/PROVENANCE.md,no
enemy.deathLarge,acquired-original,Project / Codex-assisted original synthesis,PROJECT_ORIGINAL,app/assets/audio/sfx/manifest.json#enemy.deathLarge,app/assets/audio/PROVENANCE.md,no
boss.intro,acquired-original,Project / Codex-assisted original synthesis,PROJECT_ORIGINAL,app/assets/audio/sfx/manifest.json#boss.intro,app/assets/audio/PROVENANCE.md,no
boss.death,acquired-original,Project / Codex-assisted original synthesis,PROJECT_ORIGINAL,app/assets/audio/sfx/manifest.json#boss.death,app/assets/audio/PROVENANCE.md,no
progress.stageClear,acquired-original,Project / Codex-assisted original synthesis,PROJECT_ORIGINAL,app/assets/audio/sfx/manifest.json#progress.stageClear,app/assets/audio/PROVENANCE.md,no
progress.unlock,acquired-original,Project / Codex-assisted original synthesis,PROJECT_ORIGINAL,app/assets/audio/sfx/manifest.json#progress.unlock,app/assets/audio/PROVENANCE.md,no
wheel.tick,acquired-original,Project / Codex-assisted original synthesis,PROJECT_ORIGINAL,app/assets/audio/sfx/manifest.json#wheel.tick,app/assets/audio/PROVENANCE.md,no
wheel.result,acquired-original,Project / Codex-assisted original synthesis,PROJECT_ORIGINAL,app/assets/audio/sfx/manifest.json#wheel.result,app/assets/audio/PROVENANCE.md,no
reward.daily,acquired-original,Project / Codex-assisted original synthesis,PROJECT_ORIGINAL,app/assets/audio/sfx/manifest.json#reward.daily,app/assets/audio/PROVENANCE.md,no
reward.chest,acquired-original,Project / Codex-assisted original synthesis,PROJECT_ORIGINAL,app/assets/audio/sfx/manifest.json#reward.chest,app/assets/audio/PROVENANCE.md,no
equipment.equip,acquired-original,Project / Codex-assisted original synthesis,PROJECT_ORIGINAL,app/assets/audio/sfx/manifest.json#equipment.equip,app/assets/audio/PROVENANCE.md,no
equipment.upgrade,acquired-original,Project / Codex-assisted original synthesis,PROJECT_ORIGINAL,app/assets/audio/sfx/manifest.json#equipment.upgrade,app/assets/audio/PROVENANCE.md,no
reward.offline,DEFERRED_POST_DELIVERY,UNKNOWN,UNKNOWN,NOT_ACQUIRED,MISSING,no
