eventId,trigger,visualTarget,animation,durationMsProposed,easing,vfxId,sfxId,hapticId,interruptPolicy,pool,reducedMotion,lowQuality,status
slot.unlock,board.slotUnlocked,slot,lock fade and ring expand,560,cubicOut,unlockRing,progress.unlock,medium,cancelAndReconcile,true,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
merge.cascade,merge.chainStep,board,serial result pulse; cap intensity4,650,backOut,mergeBloom,merge.cascade,medium,cancelAndReconcile,true,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
stage.progress,stage.changed,stageHUD,label crossfade and bar reset,280,cubicOut,none,none,none,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
boss.warning,boss.approaching,stageHUD,warm glow two pulses,900,sineInOut,warningGlow,none,none,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
stage.clear,stage.cleared,banner,slide/fade hold then exit,900,cubicOut,smallConfetti,progress.stageClear,light,cancelAndReconcile,true,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
feature.unlock,unlock.changed,featureCard,pop and lock dissolve,560,backOut,unlockRing,progress.unlock,medium,cancelAndReconcile,true,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
popup.open,popup.opened,popup,dimmer fade and scale.94→1,280,cubicOut,none,ui.popupOpen,none,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
popup.close,popup.closed,popup,fade scale1→.97,180,quadIn,none,ui.popupClose,none,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
tab.switch,tab.selected,navButton,selected scale1.04 and panel fade,200,quadOut,none,ui.tab,light,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
redDot.appear,claimability.changed,redDot,scale0→1.1→1,280,backOut,none,none,none,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
daily.claim,daily.claimed,rewardPanel,chest glow then flyers,900,cubicOut,rewardBurst,reward.daily,medium,cancelAndReconcile,true,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
wheel.accelerate,wheel.reserved,wheel,angular speed0→peak,900,quadIn,none,none,none,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
wheel.tick,wheel.segmentPassed,pointer,deflect6deg and settle,80,quadOut,none,wheel.tick,none,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
wheel.decelerate,wheel.braking,wheel,monotonic ease to saved angle,2800,quintOut,none,none,none,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
wheel.land,wheel.landed,segment,winner pulse and reward reveal,560,backOut,rewardBurst,wheel.result,medium,cancelAndReconcile,true,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
chest.open,chest.opened,chest,whole-sprite wobble and glow reveal,650,backOut,rewardBurst,reward.chest,medium,cancelAndReconcile,true,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
equipment.equip,equipment.changed,itemSlot,icon settle and slot glow,280,backOut,slotGlow,equipment.equip,light,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
equipment.enhance,upgrade.committed,itemCard,pulse stat change and sparkle,560,cubicOut,upgradeRing,equipment.upgrade,medium,cancelAndReconcile,true,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
currency.insufficient,command.insufficientFunds,price,shake4px and warm tint,180,quadOut,none,ui.error,none,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
feature.locked,command.locked,lock,wiggle±5deg,180,quadOut,none,ui.error,none,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
offline.popup,offline.pending,rewardPopup,popup enter and subtle chest glow,560,cubicOut,softGlow,ui.popupOpen,none,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
button.secondary,button.secondary,button,scale1→.97→1,200,quadOut,none,ui.soft,none,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
settings.slider,settings.previewChanged,slider,direct thumb tracking; no tween lag,0,linear,none,none,none,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
settings.toggle,settings.changed,toggle,thumb slide and color crossfade,140,quadOut,none,ui.soft,none,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
loading.progress,loading.changed,progressBar,monotonic width interpolation,140,linear,none,none,none,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
maintenance.idle,maintenance.visible,panel,static; readability priority,0,linear,none,none,none,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
hero.deploy,hero.deployed,hero,arc board→battle anchor,280,quadOut,spawnPuff,hero.spawn,light,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
hero.withdraw,hero.withdrawn,hero,fade battle; board pulse,200,quadOut,none,ui.soft,none,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
tutorial.hand,tutorial.stepShown,hand,drag path loop; target remains fixed,1200,sineInOut,none,none,none,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
quest.claim,quest.claimed,questCard,checkmark pop and reward flyers,560,backOut,rewardBurst,progress.stageClear,light,cancelAndReconcile,true,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
battle.camera,battle.majorImpact,worldLayer,offset max3px≤120ms,120,quadOut,none,none,none,cancelAndReconcile,false,instant final state / opacity only; no shake,halve particles; one flyer; no camera shake,PROPOSED
hero.death,hero.died,hero,mode-gated fade/squash;domain already committed,280,quadOut,none,none,none,cancelAndReconcile,false,instant final state / opacity only,no extra particles,PROPOSED_MODE_GATED
hero.recover,hero.recovered,hero,mode-gated grounded spawn/recover,280,quadOut,none,hero.spawn,none,cancelAndReconcile,false,instant final state / opacity only,no extra particles,PROPOSED_MODE_GATED
quest.progress,quest.progressed,questCounter,brief counter pulse without reward,140,quadOut,none,none,none,cancelAndReconcile,false,instant final state / opacity only,no extra particles,PROPOSED
